CASE KEY,ACTIVITY,TIMESTAMP
Case_1,Apply for Credit,2025-01-03 17:28:00
Case_10,Apply for Credit,2025-01-04 05:20:00
Case_10,Issue Credit,2025-01-04 05:21:00
Case_10,Reject Credit,2025-01-04 05:22:00
Case_11,Close Case,2025-01-04 11:44:00
Case_11,Close Case,2025-01-04 11:45:00
Case_11,Send Offer,2025-01-04 11:46:00
Case_12,Apply for Credit,2025-01-02 02:41:00
Case_12,Issue Credit,2025-01-02 02:42:00
Case_12,Issue Credit,2025-01-02 02:43:00
Case_12,Approve Credit,2025-01-02 02:44:00
Case_12,Approve Credit,2025-01-02 02:45:00
Case_12,Credit Check,2025-01-02 02:46:00
Case_12,Reject Credit,2025-01-02 02:47:00
Case_12,Reject Credit,2025-01-02 02:48:00
Case_12,Approve Credit,2025-01-02 02:49:00
Case_13,Apply for Credit,2025-01-01 13:04:00
Case_13,Issue Credit,2025-01-01 13:05:00
Case_13,Issue Credit,2025-01-01 13:06:00
Case_13,Receive Acceptance,2025-01-01 13:07:00
Case_13,Receive Acceptance,2025-01-01 13:08:00
Case_13,Issue Credit,2025-01-01 13:09:00
Case_14,Apply for Credit,2025-01-04 22:43:00
Case_14,Issue Credit,2025-01-04 22:44:00
Case_15,Receive Acceptance,2025-01-01 19:11:00
Case_15,Receive Acceptance,2025-01-01 19:12:00
Case_15,Approve Credit,2025-01-01 19:13:00
Case_15,Credit Check,2025-01-01 19:14:00
Case_16,Receive Acceptance,2025-01-01 22:08:00
Case_16,Receive Acceptance,2025-01-01 22:09:00
Case_16,Approve Credit,2025-01-01 22:10:00
Case_16,Close Case,2025-01-01 22:11:00
Case_16,Close Case,2025-01-01 22:12:00
Case_16,Reject Credit,2025-01-01 22:13:00
Case_16,Reject Credit,2025-01-01 22:14:00
Case_17,Apply for Credit,2025-01-06 15:01:00
Case_17,Credit Check,2025-01-06 15:02:00
Case_18,Apply for Credit,2025-01-04 05:29:00
Case_18,Receive Acceptance,2025-01-04 05:30:00
Case_18,Issue Credit,2025-01-04 05:31:00
Case_18,Close Case,2025-01-04 05:32:00
Case_18,Reject Credit,2025-01-04 05:33:00
Case_18,Receive Acceptance,2025-01-04 05:34:00
Case_18,Send Offer,2025-01-04 05:35:00
Case_19,Apply for Credit,2025-01-05 18:09:00
Case_19,Issue Credit,2025-01-05 18:10:00
Case_19,Close Case,2025-01-05 18:11:00
Case_19,Receive Acceptance,2025-01-05 18:12:00
Case_19,Credit Check,2025-01-05 18:13:00
Case_2,Issue Credit,2025-01-01 21:45:00
Case_2,Approve Credit,2025-01-01 21:46:00
Case_2,Approve Credit,2025-01-01 21:47:00
Case_2,Receive Acceptance,2025-01-01 21:48:00
Case_2,Reject Credit,2025-01-01 21:49:00
Case_2,Send Offer,2025-01-01 21:50:00
Case_20,Apply for Credit,2025-01-02 14:12:00
Case_20,Close Case,2025-01-02 14:13:00
Case_20,Credit Check,2025-01-02 14:14:00
Case_20,Credit Check,2025-01-02 14:15:00
Case_20,Reject Credit,2025-01-02 14:16:00
Case_20,Credit Check,2025-01-02 14:17:00
Case_3,Apply for Credit,2025-01-04 03:56:00
Case_3,Receive Acceptance,2025-01-04 03:57:00
Case_3,Approve Credit,2025-01-04 03:58:00
Case_3,Close Case,2025-01-04 03:59:00
Case_3,Issue Credit,2025-01-04 04:00:00
Case_3,Send Offer,2025-01-04 04:01:00
Case_3,Approve Credit,2025-01-04 04:02:00
Case_3,Close Case,2025-01-04 04:03:00
Case_3,Receive Acceptance,2025-01-04 04:04:00
Case_4,Apply for Credit,2025-01-01 12:06:00
Case_4,Send Offer,2025-01-01 12:07:00
Case_4,Reject Credit,2025-01-01 12:08:00
Case_4,Close Case,2025-01-01 12:09:00
Case_4,Issue Credit,2025-01-01 12:10:00
Case_4,Issue Credit,2025-01-01 12:11:00
Case_4,Credit Check,2025-01-01 12:12:00
Case_5,Send Offer,2025-01-01 08:59:00
Case_5,Reject Credit,2025-01-01 09:00:00
Case_5,Issue Credit,2025-01-01 09:01:00
Case_5,Reject Credit,2025-01-01 09:02:00
Case_5,Credit Check,2025-01-01 09:03:00
Case_5,Send Offer,2025-01-01 09:04:00
Case_5,Send Offer,2025-01-01 09:05:00
Case_5,Issue Credit,2025-01-01 09:06:00
Case_6,Apply for Credit,2025-01-07 16:59:00
Case_6,Receive Acceptance,2025-01-07 17:00:00
Case_6,Close Case,2025-01-07 17:01:00
Case_6,Issue Credit,2025-01-07 17:02:00
Case_6,Receive Acceptance,2025-01-07 17:03:00
Case_6,Send Offer,2025-01-07 17:04:00
Case_6,Issue Credit,2025-01-07 17:05:00
Case_7,Apply for Credit,2025-01-06 23:10:00
Case_7,Approve Credit,2025-01-06 23:11:00
Case_7,Receive Acceptance,2025-01-06 23:12:00
Case_7,Send Offer,2025-01-06 23:13:00
Case_8,Send Offer,2025-01-05 23:24:00
